作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2019-03-23 04:26:51,mina09551k,33,鳥取県,境港市,dq27,,,dq27-46,1,Rumi08201k,,,,0,10,0.22,
回答開始,2019-03-23 04:26:59,mina09551k,33,鳥取県,境港市,dq27,,,dq27-52,2,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:26:59,mina09551k,33,鳥取県,境港市,dq27,,,dq27-46,1,Rumi08201k,4,,,0,10,0.22,
回答開始,2019-03-23 04:27:09,mina09551k,33,鳥取県,境港市,dq27,,,dq27-47,3,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:27:09,mina09551k,33,鳥取県,境港市,dq27,,,dq27-52,2,Rumi08201k,3,,,0,10,0.22,
回答開始,2019-03-23 04:27:20,mina09551k,33,鳥取県,境港市,dq27,,,dq27-20,4,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:27:21,mina09551k,33,鳥取県,境港市,dq27,,,dq27-47,3,Rumi08201k,6,,,0,10,0.22,
回答開始,2019-03-23 04:27:30,mina09551k,33,鳥取県,境港市,dq27,,,dq27-10,5,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:27:30,mina09551k,33,鳥取県,境港市,dq27,,,dq27-20,4,Rumi08201k,6,,,0,10,0.22,
回答開始,2019-03-23 04:27:52,mina09551k,33,鳥取県,境港市,dq27,,,dq27-61,6,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:27:52,mina09551k,33,鳥取県,境港市,dq27,,,dq27-10,5,Rumi08201k,16,,,0,10,0.22,
回答開始,2019-03-23 04:28:00,mina09551k,33,鳥取県,境港市,dq27,,,dq27-41,7,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:01,mina09551k,33,鳥取県,境港市,dq27,,,dq27-61,6,Rumi08201k,4,,,0,10,0.22,
回答開始,2019-03-23 04:28:10,mina09551k,33,鳥取県,境港市,dq27,,,dq27-48,8,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:10,mina09551k,33,鳥取県,境港市,dq27,,,dq27-41,7,Rumi08201k,5,,,0,10,0.22,
回答開始,2019-03-23 04:28:21,mina09551k,33,鳥取県,境港市,dq27,,,dq27-39,9,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:21,mina09551k,33,鳥取県,境港市,dq27,,,dq27-48,8,Rumi08201k,6,,,0,10,0.22,
回答開始,2019-03-23 04:28:31,mina09551k,33,鳥取県,境港市,dq27,,,dq27-43,10,Rumi08201k,,,,0,10,0.22,
正答,2019-03-23 04:28:31,mina09551k,33,鳥取県,境港市,dq27,,,dq27-39,9,Rumi08201k,6,,,0,10,0.22,
