作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2019-12-17 04:58:22,yoko04351,47,青森県,黒石市,dq25,,,dq25-13,1,michiko06841s,,,,16.89,10,16.89,
誤答,2019-12-17 04:58:24,yoko04351,47,青森県,黒石市,dq25,,,dq25-25,1,kozue00911,27,,,16.89,10,16.89,
不合格10度目,2019-12-17 04:58:25,yoko04351,47,青森県,黒石市,dq25,,,,,kozue00911,0,0,0,16.89,10,16.89,
回答開始,2019-12-17 06:13:36,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-9,0,shiori09541k,,,,1.55,10,1.55,
回答開始,2019-12-17 06:13:41,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-21,1,shiori09541k,,,,1.55,10,1.55,
回答開始,2019-12-17 06:13:42,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-33,1,keiko03851k,,,,0.89,10,0.88,
回答開始,2019-12-17 06:13:45,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-20,2,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:13:45,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-21,1,shiori09541k,2,,,1.55,10,1.55,
回答開始,2019-12-17 06:13:48,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-18,2,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:13:49,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-33,1,keiko03851k,5,,,0.89,10,0.88,
回答開始,2019-12-17 06:13:50,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-16,3,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:13:50,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-20,2,shiori09541k,3,,,1.55,10,1.55,
回答開始,2019-12-17 06:13:54,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-6,3,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:13:54,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-18,2,keiko03851k,4,,,0.89,10,0.88,
回答開始,2019-12-17 06:13:55,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-22,4,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:13:55,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-16,3,shiori09541k,3,,,1.55,10,1.55,
回答開始,2019-12-17 06:14:01,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-18,5,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:14:01,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-22,4,shiori09541k,3,,,1.55,10,1.55,
回答開始,2019-12-17 06:14:02,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-22,4,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:14:02,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-6,3,keiko03851k,5,,,0.89,10,0.88,
回答開始,2019-12-17 06:14:06,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-12,6,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:14:06,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-18,5,shiori09541k,3,,,1.55,10,1.55,
回答開始,2019-12-17 06:14:09,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-25,5,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:14:09,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-22,4,keiko03851k,6,,,0.89,10,0.88,
回答開始,2019-12-17 06:14:10,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-12,7,shiori09541k,,,,1.55,10,1.55,
正答,2019-12-17 06:14:10,suzue01811,7,神奈川県,藤沢市,dq31,,,dq31-12,6,shiori09541k,2,,,1.55,10,1.55,
回答開始,2019-12-17 06:14:14,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-30,6,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:14:14,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-25,5,keiko03851k,4,,,0.89,10,0.88,
回答開始,2019-12-17 06:14:18,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-30,7,keiko03851k,,,,0.89,10,0.88,
正答,2019-12-17 06:14:18,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,dq29-30,6,keiko03851k,3,,,0.89,10,0.88,
合格,2019-12-17 06:14:39,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,,,chinatsu09291s,35,0.64,0.06,1.59,10,1.59,
合格,2019-12-17 06:14:39,suzue01811,7,神奈川県,藤沢市,dq31,,,,,chinatsu09291s,19,1.97,0.2,3.71,10,3.71,
合格,2019-12-17 06:14:40,sinnosuke03562,7,神奈川県,藤沢市,dq29,,,,,chinatsu09291s,35,0.64,0.06,1.59,10,1.59,
合格,2019-12-17 06:14:41,suzue01811,7,神奈川県,藤沢市,dq31,,,,,chinatsu09291s,19,1.97,0.2,3.71,10,3.71,
回答開始,2019-12-17 06:30:35,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-11,1,shiori09541k,,,,1.59,10,1.59,
回答開始,2019-12-17 06:30:38,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-19,2,shiori09541k,,,,1.59,10,1.59,
正答,2019-12-17 06:30:39,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-11,1,shiori09541k,2,,,1.59,10,1.59,
回答開始,2019-12-17 06:30:42,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-15,3,shiori09541k,,,,1.59,10,1.59,
正答,2019-12-17 06:30:42,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-19,2,shiori09541k,2,,,1.59,10,1.59,
回答開始,2019-12-17 06:30:46,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-17,4,shiori09541k,,,,1.59,10,1.59,
正答,2019-12-17 06:30:46,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-15,3,shiori09541k,2,,,1.59,10,1.59,
回答開始,2019-12-17 06:30:50,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-8,5,shiori09541k,,,,1.59,10,1.59,
正答,2019-12-17 06:30:50,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-17,4,shiori09541k,3,,,1.59,10,1.59,
回答開始,2019-12-17 06:30:55,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-5,6,shiori09541k,,,,1.59,10,1.59,
正答,2019-12-17 06:30:55,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-8,5,shiori09541k,3,,,1.59,10,1.59,
誤答,2019-12-17 06:30:59,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,dq31-8,6,chinatsu09291s,2,,,1.59,10,1.59,
不合格1度目,2019-12-17 06:30:59,sinnosuke03562,7,神奈川県,藤沢市,dq31,,,,,chinatsu09291s,11,0,0,1.59,10,1.59,
,
,
作業/判定,タイムスタンプ,読Qネーム,会員種別,年齢,都道府県,市町村,所属団体読Qネーム,内容,金額,有効期限更新
ログイン,2019-12-17 04:48:40,yoko04351,一般,47,青森県,黒石市,,,,,
顔認証失敗,2019-12-17 04:54:33,yoko04351,一般,47,青森県,黒石市,,,,,
顔認証成功,2019-12-17 04:57:48,kozue00911,一般,22,長野県,松本市,,,,,
ログアウト,2019-12-17 06:00:16,yoko04351,一般,47,青森県,黒石市,,,,,
ログイン,2019-12-17 06:02:26,suzue01811,一般,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 06:03:35,sinnosuke03562,一般,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 06:05:08,chinatsu09291s,教職員,31,,,nanamatsu2510043,,,,
顔認証失敗,2019-12-17 06:08:14,sinnosuke03562,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
ログアウト,2019-12-17 06:09:41,suzue01811,生徒,7,神奈川県,藤沢市,,,,,
ログイン,2019-12-17 06:10:28,suzue01811,一般,7,神奈川県,藤沢市,,,,,
顔登録,2019-12-17 06:11:54,suzue01811,生徒,7,神奈川県,藤沢市,nanamatsu2510043,,,,
