作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2021-01-24 01:38:54,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-20,1,momoka01361c,,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:00,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-13,2,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:00,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-20,1,momoka01361c,4,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:05,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-16,3,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:06,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-13,2,momoka01361c,5,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:10,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-5,4,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:10,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-16,3,momoka01361c,4,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:14,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-7,5,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:14,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-5,4,momoka01361c,3,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:18,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-10,6,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:18,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-7,5,momoka01361c,3,,,1.95,10,1.95,
回答開始,2021-01-24 01:39:22,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-10,7,momoka01361c,,,,1.95,10,1.95,
正答,2021-01-24 01:39:22,Kyoko07811,9,神奈川県,藤沢市,dq57,,,dq57-10,6,momoka01361c,3,,,1.95,10,1.95,
合格,2021-01-24 01:39:45,Kyoko07811,9,神奈川県,藤沢市,dq57,,,,,mariko06981k,27,0.1,0.01,2.06,10,2.06,
回答開始,2021-01-26 15:32:41,rina05771,32,愛知県,春日井市,dq59,,,dq59-16,1,yukari05831k,,,,0,10,0,
回答開始,2021-01-26 15:32:49,rina05771,32,愛知県,春日井市,dq59,,,dq59-23,2,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:32:49,rina05771,32,愛知県,春日井市,dq59,,,dq59-16,1,yukari05831k,7,,,0,10,0,
回答開始,2021-01-26 15:32:58,rina05771,32,愛知県,春日井市,dq59,,,dq59-5,3,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:32:58,rina05771,32,愛知県,春日井市,dq59,,,dq59-23,2,yukari05831k,7,,,0,10,0,
回答開始,2021-01-26 15:33:03,rina05771,32,愛知県,春日井市,dq59,,,dq59-18,4,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:33:03,rina05771,32,愛知県,春日井市,dq59,,,dq59-5,3,yukari05831k,4,,,0,10,0,
回答開始,2021-01-26 15:33:13,rina05771,32,愛知県,春日井市,dq59,,,dq59-20,5,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:33:13,rina05771,32,愛知県,春日井市,dq59,,,dq59-18,4,yukari05831k,9,,,0,10,0,
回答開始,2021-01-26 15:33:25,rina05771,32,愛知県,春日井市,dq59,,,dq59-21,6,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:33:25,rina05771,32,愛知県,春日井市,dq59,,,dq59-20,5,yukari05831k,10,,,0,10,0,
回答開始,2021-01-26 15:33:37,rina05771,32,愛知県,春日井市,dq59,,,dq59-21,7,yukari05831k,,,,0,10,0,
正答,2021-01-26 15:33:37,rina05771,32,愛知県,春日井市,dq59,,,dq59-21,6,yukari05831k,11,,,0,10,0,
合格,2021-01-26 15:33:53,rina05771,32,愛知県,春日井市,dq59,,,,,Tae01351,44,0.16,0.01,0.17,10,0,
回答開始,2021-02-19 04:05:30,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-9,1,yukari05831k,,,,0.7,10,0,
回答開始,2021-02-19 04:05:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-23,2,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:05:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-9,1,yukari05831k,4,,,0.7,10,0,
回答開始,2021-02-19 04:05:47,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-2,3,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:05:47,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-23,2,yukari05831k,10,,,0.7,10,0,
回答開始,2021-02-19 04:05:56,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-8,4,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:05:56,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-2,3,yukari05831k,8,,,0.7,10,0,
回答開始,2021-02-19 04:06:04,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-4,5,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:06:04,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-8,4,yukari05831k,7,,,0.7,10,0,
回答開始,2021-02-19 04:06:10,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,6,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:06:10,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-4,5,yukari05831k,5,,,0.7,10,0,
回答開始,2021-02-19 04:06:20,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,7,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 04:06:20,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,6,yukari05831k,9,,,0.7,10,0,
合格,2021-02-19 04:06:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,,,mariko06981k,49,0.16,0.01,0.87,10,0,
,
,
作業/判定,タイムスタンプ,読Qネーム,会員種別,年齢,都道府県,市町村,所属団体読Qネーム,内容,金額,有効期限更新
ログイン,2021-01-22 14:01:16,martina03721,一般,10,青森県,黒石市,,,,,
ログアウト,2021-01-22 14:18:40,martina03721,一般,10,青森県,黒石市,,,,,
ログイン,2021-01-22 14:19:46,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログアウト,2021-01-22 14:45:59,keiko03851k,監修者,53,青森県,黒石市,,,,,
ログイン,2021-01-22 14:46:26,momoka01361c,著者,29,福岡県,大牟田市,,,,,
ログアウト,2021-01-22 14:54:44,momoka01361c,著者,29,福岡県,大牟田市,,,,,
ログイン,2021-01-23 02:32:25,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
ログアウト,2021-01-23 02:32:58,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
ログイン,2021-01-23 02:53:49,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-23 03:00:07,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-23 13:40:57,kumiko01731,一般,80,神奈川県,厚木市,,,,,
ログアウト,2021-01-23 13:45:24,kumiko01731,一般,80,神奈川県,厚木市,,,,,
ログイン,2021-01-24 01:13:47,satomi01741,一般,8,鳥取県,境港市,,,,,
ログアウト,2021-01-24 01:14:42,satomi01741,生徒,8,鳥取県,境港市,,,,,
ログイン,2021-01-24 01:14:54,maria05841,一般,7,神奈川県,南足柄市,,,,,
顔認証失敗,2021-01-24 01:21:34,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔認証失敗,2021-01-24 01:22:16,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2021-01-24 01:22:34,maria05841,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-01-24 01:33:57,tomomi02261,一般,8,神奈川県,藤沢市,,,,,
ログアウト,2021-01-24 01:35:12,tomomi02261,生徒,8,神奈川県,藤沢市,,,,,
ログイン,2021-01-24 01:35:24,Kyoko07811,一般,9,神奈川県,藤沢市,,,,,
顔認証成功,2021-01-24 01:38:40,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
顔認証成功,2021-01-24 01:39:42,mariko06981k,監修者,59,長野県,東筑摩郡麻績村,,,,,
ログアウト,2021-01-24 01:41:28,Kyoko07811,生徒,9,神奈川県,藤沢市,,,,,
ログイン,2021-01-24 01:53:03,momoka01361c,著者,29,福岡県,大牟田市,,,,,
ログアウト,2021-01-24 03:42:24,momoka01361c,著者,29,福岡県,大牟田市,,,,,
ログイン,2021-01-25 11:33:10,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-25 11:37:36,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-25 11:38:05,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-25 11:38:26,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 07:55:47,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 08:52:50,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 08:53:05,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 09:04:16,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 09:04:52,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 09:05:36,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 09:07:52,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 12:37:25,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 14:50:23,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 14:55:43,hiroko06091k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 15:03:29,hiroko06091k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 15:03:47,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 15:05:27,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 15:07:17,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 15:29:56,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-26 15:30:18,rina05771,一般,32,愛知県,春日井市,,,,,
顔登録,2021-01-26 15:31:53,rina05771,一般,32,愛知県,春日井市,,,,,
ログイン,2021-01-26 15:31:53,rina05771,一般,32,愛知県,春日井市,,,,,
顔認証成功,2021-01-26 15:32:25,Tae01351,一般,36,神奈川県,藤沢市,,,,,
顔認証成功,2021-01-26 15:33:50,Tae01351,一般,36,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 15:36:04,rina05771,一般,32,愛知県,春日井市,,,,,
ログイン,2021-01-26 15:36:23,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-26 15:56:24,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-27 05:12:44,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログアウト,2021-01-27 05:36:59,yukari05831k,監修者,58,神奈川県,藤沢市,,,,,
ログイン,2021-01-27 05:38:02,rina05771,一般,32,愛知県,春日井市,,,,,
ログイン,2021-02-12 00:45:25,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2021-02-12 00:45:37,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
顔認証失敗,2021-02-12 00:47:42,shota04572,生徒,7,神奈川県,座間市,kuzuharalilysho2520822,,,,
ログアウト,2021-02-12 00:50:06,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 00:52:24,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 00:55:58,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2021-02-12 00:56:47,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 00:57:54,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-02-12 00:58:42,shota04572,生徒,7,神奈川県,座間市,,,,,
