作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2020-08-31 15:28:25,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-14,1,yukari05831k,,,,4.2,10,0,
回答開始,2020-08-31 15:28:34,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-18,2,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:28:34,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-14,1,yukari05831k,8,,,4.2,10,0,
回答開始,2020-08-31 15:28:40,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-10,3,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:28:40,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-18,2,yukari05831k,5,,,4.2,10,0,
回答開始,2020-08-31 15:28:48,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-19,4,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:28:48,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-10,3,yukari05831k,6,,,4.2,10,0,
回答開始,2020-08-31 15:28:56,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-28,5,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:28:56,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-19,4,yukari05831k,7,,,4.2,10,0,
回答開始,2020-08-31 15:29:01,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-29,6,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:29:01,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-28,5,yukari05831k,4,,,4.2,10,0,
回答開始,2020-08-31 15:29:06,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-29,7,yukari05831k,,,,4.2,10,0,
正答,2020-08-31 15:29:06,yukari05831k,57,神奈川県,藤沢市,dq50,,,dq50-29,6,yukari05831k,4,,,4.2,10,0,
合格,2020-08-31 15:29:18,yukari05831k,57,神奈川県,藤沢市,dq50,,,,,mariko06981k,39,0.74,0.07,5.01,10,0,
回答開始,2020-08-31 15:34:27,yukari05831k,57,神奈川県,藤沢市,dq29,,,dq29-7,0,keiko03851k,,,,6.96,10,0,
回答開始,2020-08-31 15:34:32,yukari05831k,57,神奈川県,藤沢市,dq29,,,dq29-36,1,keiko03851k,,,,6.96,10,0,
回答開始,2020-08-31 15:34:36,yukari05831k,57,神奈川県,藤沢市,dq29,,,dq29-34,2,keiko03851k,,,,6.96,10,0,
正答,2020-08-31 15:34:36,yukari05831k,57,神奈川県,藤沢市,dq29,,,dq29-36,1,keiko03851k,3,,,6.96,10,0,
