作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2021-02-19 13:05:30,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-9,1,yukari05831k,,,,0.7,10,0,
回答開始,2021-02-19 13:05:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-23,2,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:05:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-9,1,yukari05831k,4,,,0.7,10,0,
回答開始,2021-02-19 13:05:47,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-2,3,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:05:47,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-23,2,yukari05831k,10,,,0.7,10,0,
回答開始,2021-02-19 13:05:56,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-8,4,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:05:56,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-2,3,yukari05831k,8,,,0.7,10,0,
回答開始,2021-02-19 13:06:04,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-4,5,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:06:04,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-8,4,yukari05831k,7,,,0.7,10,0,
回答開始,2021-02-19 13:06:10,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,6,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:06:10,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-4,5,yukari05831k,5,,,0.7,10,0,
回答開始,2021-02-19 13:06:20,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,7,yukari05831k,,,,0.7,10,0,
正答,2021-02-19 13:06:20,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,dq59-25,6,yukari05831k,9,,,0.7,10,0,
合格,2021-02-19 13:06:36,toshikazu09372k,49,神奈川県,鎌倉市,dq59,,,,,mariko06981k,49,0.16,0.01,0.87,10,0,
,
,
作業/判定,タイムスタンプ,読Qネーム,会員種別,年齢,都道府県,市町村,所属団体読Qネーム,内容,金額,有効期限更新
ログイン,2021-02-12 09:45:25,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2021-02-12 09:45:37,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
顔認証失敗,2021-02-12 09:47:42,shota04572,生徒,7,神奈川県,座間市,kuzuharalilysho2520822,,,,
ログアウト,2021-02-12 09:50:06,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 09:52:24,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 09:55:58,shota04572,一般,7,神奈川県,座間市,,,,,
ログアウト,2021-02-12 09:56:47,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 09:57:54,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-02-12 09:58:42,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2021-02-12 09:59:42,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2021-02-12 10:02:49,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-12 10:17:59,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-12 18:05:03,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 18:12:52,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
顔登録,2021-02-12 18:14:21,taiyo06312,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-12 18:14:21,taiyo06312,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログアウト,2021-02-12 18:21:18,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-14 17:46:27,shota04572,一般,7,神奈川県,座間市,,,,,
ログイン,2021-02-14 17:47:39,atsushi02582s,教職員,42,神奈川県,小田原市,nishiashigarasho2500105,,,,
ログアウト,2021-02-14 17:48:52,shota04572,生徒,7,神奈川県,座間市,,,,,
ログイン,2021-02-14 17:49:13,taiyo06312,一般,7,神奈川県,南足柄市,,,,,
ログアウト,2021-02-14 17:52:46,taiyo06312,生徒,7,神奈川県,南足柄市,,,,,
ログイン,2021-02-14 18:01:22,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-14 18:01:22,maria05841,一般,7,神奈川県,南足柄市,,,,,
顔登録,2021-02-14 18:07:16,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
ログイン,2021-02-14 18:07:16,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
顔登録,2021-02-14 18:13:28,maria05841,生徒,7,神奈川県,南足柄市,nishiashigarasho2500105,,,,
