作業/判定,タイムスタンプ,読Qネーム,年齢,都道府県,市町村,読Q本ID,書籍名,著者,クイズ?,出題順番,試験監督,かかった秒数,獲得読Q本point,獲得時短point,現在の生涯point,現時点の級,現時点の今年度point
回答開始,2022-09-05 17:02:52,mizue05951,20,東京都,世田谷区,dq256,,,dq256-14,1,yukari05831k,,,,0,10,0,
回答開始,2022-09-05 17:03:00,mizue05951,20,東京都,世田谷区,dq256,,,dq256-34,2,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:01,mizue05951,20,東京都,世田谷区,dq256,,,dq256-14,1,yukari05831k,5,,,0,10,0,
回答開始,2022-09-05 17:03:11,mizue05951,20,東京都,世田谷区,dq256,,,dq256-9,3,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:12,mizue05951,20,東京都,世田谷区,dq256,,,dq256-34,2,yukari05831k,8,,,0,10,0,
回答開始,2022-09-05 17:03:17,mizue05951,20,東京都,世田谷区,dq256,,,dq256-30,4,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:17,mizue05951,20,東京都,世田谷区,dq256,,,dq256-9,3,yukari05831k,4,,,0,10,0,
回答開始,2022-09-05 17:03:24,mizue05951,20,東京都,世田谷区,dq256,,,dq256-10,5,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:24,mizue05951,20,東京都,世田谷区,dq256,,,dq256-30,4,yukari05831k,5,,,0,10,0,
回答開始,2022-09-05 17:03:30,mizue05951,20,東京都,世田谷区,dq256,,,dq256-7,6,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:31,mizue05951,20,東京都,世田谷区,dq256,,,dq256-10,5,yukari05831k,4,,,0,10,0,
回答開始,2022-09-05 17:03:38,mizue05951,20,東京都,世田谷区,dq256,,,dq256-7,7,yukari05831k,,,,0,10,0,
正答,2022-09-05 17:03:38,mizue05951,20,東京都,世田谷区,dq256,,,dq256-7,6,yukari05831k,5,,,0,10,0,
合格,2022-09-05 17:04:13,mizue05951,20,東京都,世田谷区,dq256,,,,,yukari88001k,37,0.47,0.04,0.51,10,0.51,
回答開始,2022-09-06 15:59:23,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-21,1,yukari05831k,,,,0.59,10,0,
回答開始,2022-09-06 15:59:39,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-20,2,yukari05831k,,,,0.59,10,0,
正答,2022-09-06 15:59:40,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-21,1,yukari05831k,14,,,0.59,10,0,
回答開始,2022-09-06 15:59:54,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-8,3,yukari05831k,,,,0.59,10,0,
正答,2022-09-06 15:59:54,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-20,2,yukari05831k,11,,,0.59,10,0,
回答開始,2022-09-06 15:59:55,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-8,3,yukari05831k,,,,0.59,10,0,
正答,2022-09-06 15:59:55,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-20,2,yukari05831k,13,,,0.59,10,0,
回答開始,2022-09-06 16:00:07,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-9,4,yukari05831k,,,,0.59,10,0,
正答,2022-09-06 16:00:07,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-8,3,yukari05831k,10,,,0.59,10,0,
回答開始,2022-09-06 16:00:08,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-9,4,yukari05831k,,,,0.59,10,0,
正答,2022-09-06 16:00:08,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-8,3,yukari05831k,11,,,0.59,10,0,
誤答,2022-09-06 16:00:19,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,dq186-8,4,hiroko06091k,8,,,0.59,10,0,
不合格5度目,2022-09-06 16:00:20,sanetsugu06572,6,神奈川県,藤沢市,dq186,,,,,hiroko06091k,40,0,0,0.59,10,0,
回答開始,2022-09-06 17:03:05,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-14,1,yukari05831k,,,,0,10,0,
回答開始,2022-09-06 17:03:18,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-21,2,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:03:18,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-14,1,yukari05831k,11,,,0,10,0,
回答開始,2022-09-06 17:03:33,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-5,3,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:03:33,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-21,2,yukari05831k,13,,,0,10,0,
回答開始,2022-09-06 17:03:44,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-9,4,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:03:45,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-5,3,yukari05831k,9,,,0,10,0,
回答開始,2022-09-06 17:03:53,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-3,5,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:03:53,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-9,4,yukari05831k,7,,,0,10,0,
回答開始,2022-09-06 17:04:03,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-11,6,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:04:03,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-3,5,yukari05831k,9,,,0,10,0,
回答開始,2022-09-06 17:04:17,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-2,7,yukari05831k,,,,0,10,0,
正答,2022-09-06 17:04:17,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-11,6,yukari05831k,12,,,0,10,0,
正答,2022-09-06 17:04:26,JURI07511,8,神奈川県,藤沢市,dq186,,,dq186-2,7,yukari05831k,8,,,0,10,0,
合格,2022-09-06 17:04:51,JURI07511,8,神奈川県,藤沢市,dq186,,,,,yukari05831k,81,0.06,0,0.06,10,0,
,
,
作業/判定,タイムスタンプ,読Qネーム,会員種別,年齢,都道府県,市町村,所属団体読Qネーム,内容,金額,有効期限更新
ログイン,2022-09-05 16:56:45,maiko02151,一般,9,神奈川県,藤沢市,,,,,
ログアウト,2022-09-05 16:57:47,maiko02151,生徒,9,神奈川県,藤沢市,,,,,
ログイン,2022-09-05 17:00:49,mizue05951,一般,20,東京都,世田谷区,,,,,
顔登録,2022-09-05 17:01:58,mizue05951,生徒,20,東京都,世田谷区,miraidai2510043,,,,
ログイン,2022-09-05 17:01:58,mizue05951,生徒,20,東京都,世田谷区,miraidai2510043,,,,
顔認証成功,2022-09-05 17:02:36,yukari88001k,一般,59,神奈川県,藤沢市,,,,,
顔認証成功,2022-09-05 17:04:10,yukari88001k,一般,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-05 17:04:37,mizue05951,生徒,20,東京都,世田谷区,,,,,
ログイン,2022-09-05 17:05:44,yukari00161s,教職員,32,神奈川県,藤沢市,miraidai2510043,,,,
ログアウト,2022-09-05 17:10:37,yukari00161s,教職員,32,神奈川県,藤沢市,miraidai2510043,,,,
ログイン,2022-09-05 17:18:05,Taro06592,監修者,20,神奈川県,厚木市,,,,,
ログアウト,2022-09-05 17:19:27,Taro06592,監修者,20,神奈川県,厚木市,,,,,
ログイン,2022-09-06 14:49:08,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-06 14:52:33,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログイン,2022-09-06 15:01:14,sanetsugu06572,一般,6,神奈川県,藤沢市,,,,,
ログイン,2022-09-06 15:04:49,hiroko06091k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-06 15:04:56,hiroko06091k,監修者,59,神奈川県,藤沢市,,,,,
顔認証成功,2022-09-06 15:58:45,hiroko06091k,監修者,59,神奈川県,藤沢市,,,,,
ログイン,2022-09-06 16:57:57,JURI07511,一般,8,神奈川県,藤沢市,,,,,
顔登録,2022-09-06 16:59:51,JURI07511,一般,8,神奈川県,藤沢市,,,,,
ログイン,2022-09-06 16:59:51,JURI07511,一般,8,神奈川県,藤沢市,,,,,
顔認証成功,2022-09-06 17:02:30,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
顔認証成功,2022-09-06 17:04:48,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-06 17:06:54,JURI07511,一般,8,神奈川県,藤沢市,,,,,
ログイン,2022-09-07 19:02:17,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-07 19:10:37,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログイン,2022-09-08 17:22:50,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-08 17:35:23,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログイン,2022-09-10 18:36:50,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログイン,2022-09-10 22:48:36,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
ログアウト,2022-09-10 23:09:30,yukari05831k,監修者,59,神奈川県,藤沢市,,,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,内容,対象 読Qﾈｰﾑ,いいね！した帯文
問合せ,2022-09-09 13:20:33,,,,,,QrVLXWaZSE,,,
問合せ,2022-09-09 13:20:34,,,,,,JDaGoyHVjbTYnr,,,
問合せ,2022-09-09 13:20:37,,,,,,aCvPgzBQYFOT,,,
問合せ,2022-09-09 13:20:39,,,,,,xaeCyhGMrUOYJSsP,,,
,
,
作業/判定,タイムスタンプ,読Qネーム,年齢,読Q本ID,書籍名,著者,クイズ?,獲得point,現在の生涯point,現在の級,内容
クイズ削除,2022-09-04 16:29:36,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,,7.11,10,【パイをぬすんだのはだれ？】法廷*ほうてい*では、#公爵夫人*こうしゃくふじん*の作った#パイが盗まれた裁判をやっていました。,
クイズ送信,2022-09-04 16:42:09,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【うさぎ穴を落ちてゆくと】
アリスは、川の堤*つつみ*で#お姉*ねえ*さんといっしょに本を読んでいました#。,
クイズ送信,2022-09-04 16:42:09,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【うさぎ穴を落ちてゆくと】アリスのそばを、チョッキを着た白い#ネズミが#、時計をとりだして「たいへんだ、おくれてしまう」とひとりごとを言って走ってゆきました。,
クイズ送信,2022-09-04 16:42:10,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【うさぎ穴を落ちてゆくと】アリスは、ウサギ穴にとびこんでしまい、#うちへ帰りたくて泣いてしまいました#。,
クイズ送信,2022-09-04 16:42:10,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【うさぎ穴を落ちてゆくと】アリスは、#「わたしをお飲*の*み」と書いてあるビンを#飲んでしまいました。,
クイズ送信,2022-09-04 16:42:10,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【うさぎ穴を落ちてゆくと】アリスは、「わたしをおたべ」と書いてあるケーキを#ふみつけました#。,
クイズ送信,2022-09-04 16:42:11,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【なみだの池】アリスは、部屋から出られなくなるほど背たけが伸*の*びてしまい、泣き続*つづ*けて#大きな池ができました#。,
クイズ送信,2022-09-04 16:42:11,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【なみだの池】池の中を泳いでいたアリスは、#かっていたネコのダイナが#およいでいるのを見ました。,
クイズ送信,2022-09-04 16:42:12,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【コーカス・レースと長いお話】コーカス・レースで勝ったのは、#ドードー鳥でした#。,
クイズ送信,2022-09-04 16:42:12,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【コーカス・レースと長いお話】アリスが、ネコのダイナの話をすると　#鳥たちは逃げ出してしまいました#。,
クイズ送信,2022-09-04 16:42:13,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ウサギの使いのちびのビル】ウサギは、アリスのことを#女中とまちがえて「手ぶくろをもっておいで」と言いました#。,
クイズ送信,2022-09-04 16:42:13,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ウサギの使いのちびのビル】部屋から出られなくなるほど大きくなったアリスは、#窓から腕を伸ばして、ウサギをつかみ落としてしまいました#。,
クイズ送信,2022-09-04 16:42:13,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ウサギの使いのちびのビル】ちいさくなったアリスは、子犬にあい#いろいろな芸*げい*を教えてあげました#。,
クイズ送信,2022-09-04 16:42:14,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【イモムシのくれた忠告*ちゅうこく*】アリスは、イモムシがまじないをかけたキノコをかじると、#首が茎*くき*のようにはるかに高く伸*の*びていました#。,
クイズ送信,2022-09-04 16:42:14,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【イモムシのくれた忠告(ちゅうこく)】アリスは、#おなかがへったのでハトのたまごをねらって#、首を木の葉の間にもぐりこませました。,
クイズ送信,2022-09-04 16:42:15,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ブタとコショウ】おさかな顔の召使*めしつかい*が、公爵夫人*こうしゃくふじん*へ  #女王さまからの クローケーあそびへの招待状*しょうたいじょう*#をもってきました。,
クイズ送信,2022-09-04 16:42:15,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ブタとコショウ】アリスが、あかちゃんをあやしていると、いつの間に#かあかちゃんは、
キツネになって#森のなかへはいっていきました。,
クイズ送信,2022-09-04 16:42:16,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ブタとコショウ】チェシャ・ネコは、アリスに ぼうし屋と三月ウサギは気がふれていると言い、#にやにや笑＊わら＊いをしながら消えていきました#。,
クイズ送信,2022-09-04 16:42:16,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【気ちがいどうしのティー・パーティー】アリスは、三月ウサギ、ぼうし屋、眠*ねむ*りネズミと #なぞときをしながらお茶を飲*の*みました#。,
クイズ送信,2022-09-04 16:42:17,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【気ちがいどうしのティー・パーティー】 アリスが、ティー・パーティーにいやけがさして立ちあがると、#眠＊ねむ＊りネズミは、三月ウサギとぼうし屋に急須*きゅうす*のなかへ押しこめられていました#。,
クイズ送信,2022-09-04 16:42:17,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【女王のクローケー・グラウンド】 女王は気にいらないことがあると、 #
「ばかものめ！」#というのが くちぐせです。,
クイズ送信,2022-09-04 16:42:17,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【女王のクローケー・グラウンド】 クローケーのボールは、#生きているハリネズミで　ボールを打つ槌＊つち＊は、生きたフラミンゴでした#。,
クイズ送信,2022-09-04 16:42:18,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【女王のクローケー・グラウンド】首切り役人は、チェシャ・ネコには、#胴体＊どうたい＊がないので首をきることはできない#と言いました。,
クイズ送信,2022-09-04 16:42:18,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【ニセ海ガメのものがたり】アリスは、グリフォンに海ガメのところへつれていかれ、#海のなかの学校の話を聞きました#。,
クイズ送信,2022-09-04 16:42:19,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【エビのカドリール】アリスは、#海ガメとグリフォンがエビのカドリールを踊るのを楽しみました#。,
クイズ送信,2022-09-04 16:42:19,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【パイをぬすんだのはだれ？】法廷*ほうてい*では、#公爵夫人*こうしゃくふじん*の作った#パイが盗まれた裁判をやっていました。,
クイズ送信,2022-09-04 16:42:20,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【パイをぬすんだのはだれ？】第一の証人*しょうにん*が#三月ウサギ#でした。,
クイズ送信,2022-09-04 16:42:20,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【アリスの証言*しょうげん*】アリスは、証人として呼ばれましたが、#ぐんぐん小さくなって逃げることができました#。,
クイズ送信,2022-09-04 16:42:20,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,0,7.11,10,【アリスの証言(しょうげん)】アリスに向かってトランプが空中に舞いあがり、ひらひらと落ちかかってきました。#それをお姉さんがはらいのけてくれたのです#。,
読Q本認定,2022-09-04 22:47:05,yukiko06941k,64,dq262,ふしぎの国のアリス,キャロル ルイス,,4.33,7.54,10,,
クイズ送信,2022-09-07 19:01:08,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,女の子が　なきやんだとき、へやには　＃さっきとは　ちがう　ねこが　いました＃。,
クイズ送信,2022-09-07 19:01:08,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,ねこと　女の子の　じゃんけんは、＃なんども　あいこでしょ　をしました＃。,
クイズ送信,2022-09-07 19:01:09,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,ねこは、じゃんけんで、＃チョキ＃の　ときだけ　つめを　だしました。　,
クイズ送信,2022-09-07 19:01:09,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,＃じゃんけんに　かった　おとうさんは、女の子に、せんめんじょにある　めがねを　もってくるように　いいました＃。,
クイズ送信,2022-09-07 19:01:10,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,女の子の　うちでは、＃なんでも　じゃんけんで　きめるという　ルールが　ありました＃。,
クイズ送信,2022-09-07 19:01:10,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,おとうさんが、「じゃんけんに　かっても　まけても、しなきゃならん　ことは、しなきゃならん。」と、こわいこえで　いったので、＃女の子は　ないてしまいました＃。,
クイズ送信,2022-09-07 19:01:11,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,「びょうきに　なったとき、じゃんけんに　まけたからって　おいしゃさんが　みてくれなかったら、どうするんだ？」と、おとうさんが　きくと、女の子は　「＃あたし　びょうきになんか　ならないもん＃」　と、いいました。,
クイズ送信,2022-09-07 19:01:11,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,女の子は、おとうさんと　おかあさんが　じゃんけんを　してくれないので、＃じぶんの　右手＊みぎて＊と左手＊ひだりて＊で　じゃんけん　しました＃。,
クイズ送信,2022-09-07 19:01:12,yukari88001k,59,dq218,じゃんけんのすきな女の子,松岡 享子,,0,11.95,10,女の子は、＃おとうさんと　おかあさんが　じゃんけんを　してくれないので＃、ねこと　じゃんけん　しました。,
